"Case","OCC_DATE","OCC_YEAR","OCC_Month","OCC_QTR","CASE_STATUS_DESC","UCR","UCR_EXT_CODE","OFFENSE_DESC","Bias Type","LOC_CODE","Location_Description","DeIdentifiedLocation","X_COORDINATE","Y_COORDINATE"
"2018166152","2018-03-09",2018,3,1,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1316","0","THREATS TO INJURE","ANTI-GAY (MALE)","20","RESIDENCE/HOME","4800 BLOCK N HALIFAX ST",3208580,1711660
"2018148236","2018-03-03",2018,3,1,"INACTIVE","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-MULTIPLE RACES, GROUP","18","PARKING LOT/GARAGE","5000 BLOCK LEETSDALE DR",3160583,1683183
"2018154467","2018-03-02",2018,3,1,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","0","AGGRAVATED ASSAULT","ANTI-HISPANIC OR LATINO","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","3000 BLOCK W HILLSIDE PL",3133543,1670277
"201891781","2018-02-07",2018,2,1,"INACTIVE - EARLY CASE CLOSURE","1313","0","ASSAULT - SIMPLE","ANTI-HISPANIC OR LATINO","18","PARKING LOT/GARAGE","5300 BLOCK E CHERRY CREEK S DR",3161140,1679433
"201879009","2018-01-30",2018,1,1,"REFERRED TO OTHER AGENCY","1316","0","THREATS TO INJURE","ANTI-HISPANIC OR LATINO","20","RESIDENCE/HOME","1200 BLOCK S OSCEOLA ST",3130131,1678194
"201864148","2018-01-26",2018,1,1,"INACTIVE","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-HISPANIC OR LATINO","20","RESIDENCE/HOME","100 BLOCK N RALEIGH ST",3128912,1687206
"20186000800","2018-01-24",2018,1,1,"INACTIVE","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-BLACK OR AFRICAN AMERICAN","25","OTHER/UNKNOWN","800 BLOCK N PEARL ST",3146416,1691016
"201856445","2018-01-24",2018,1,1,"LETTER TO DETECTIVE - INFORMATION ONLY","5309","0","HARASSMENT","ANTI-JEWISH","4","CHURCH/SYNAGOGUE/TEMPLE/MOSQUE","1300 BLOCK N GRANT ST",3145118,1694152
"20183757","2018-01-02",2018,1,1,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-HISPANIC OR LATINO","18","PARKING LOT/GARAGE","W LOUISIANA AVE / S FEDERAL BLVD",3133651,1677693
"2018504116","2018-01-01",2018,1,1,"OPEN","5309","0","HARASSMENT","ANTI-GAY (MALE)","20","RESIDENCE/HOME","900 BLOCK N WASHINGTON ST",3146682,1691514
